Name,Event,Price,Stock,ImageURL
Veggie Eater Gopher,Spring,₱10.00,1,https://flee-the-facility.fandom.com/wiki/Veggie_Eater_Gopher_Hammer
Tomato Eater Gopher,Spring,₱25.00,2,https://flee-the-facility.fandom.com/wiki/Tomato_Eater_Gopher_Hammer
Orange Mocktail,Summer,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Orange_Mocktail_Hammer
Lime Mocktail,Summer,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Lime_Mocktail_Hammer
Choco Dip,Summer,₱25.00,2,https://static.wikia.nocookie.net/flee-the-facility/images/b/bd/Choco_Dip_Hammer.png/revision/latest?cb=20250908193830
Arts and Crafts,Others,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Arts_and_Crafts_Hammer
Graffiti,Others,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Graffiti_Hammer
Porcelain,Others,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Porcelain_Hammer
Barn,Autumn,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Barn_Hammer
Carrot Cake,Easter,₱5.00,2,https://flee-the-facility.fandom.com/wiki/Carrot_Cake_Hammer
Sea Monster,Halloween,₱5.00,3,https://flee-the-facility.fandom.com/wiki/Sea_Monster_Hammer
Blood Moon,Halloween,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Blood_Moon_Hammer
Analog Horror,Halloween,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Analog_Horror_Hammer
Barren Broadcast,Halloween,₱5.00,2,https://flee-the-facility.fandom.com/wiki/Barren_Broadcast_Hammer
Backrooms,Halloween,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Backrooms_Hammer
Red Man's Vengeance,Halloween,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Red_Man's_Vengeance_Hammer
Yin & Yang,Lunar New Years,₱5.00,1,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Yin_Yang.png
Red Panda,Lunar New Years,₱5.00,4,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Red_Panda.png
Classic,Anniversary,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Classic.webp
2nd Anniversary,Anniversary,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/2nd%20Anniversary.webp
1 Billion,Anniversary,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/1%20Billion.webp
Mothership ,Anniversary,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Mothership.webp
3rd Anniversary ,Anniversary,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/3rd%20Anniversary.webp
4th Anniversary ,Anniversary,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/4th%20Anniversary.webp
Piñata ,Anniversary,₱30.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Pi%C3%B1ata.webp
Party Balloons,Anniversary,₱135.00,2,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Party%20Balloons.webp
Strawberry Jelly Basket ,Anniversary,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Strawberry%20Jelly%20Basket.webp
Blueberry Jam Basket ,Anniversary,₱30.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Blueberry%20Jam%20Basket.webp
Bitter Lemonade Basket ,Anniversary,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Bitter%20Lemonade%20Basket.webp
Fish Tank ,Anniversary,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Fish%20Tank.webp
Ancestral Trident ,Anniversary,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Ancestral%20Trident.webp
Ancient Trident ,Anniversary,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Ancient%20Trident.webp
Mystical Trident ,Anniversary,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Mystical%20Trident.webp
Marine Anchor ,Anniversary,₱30.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Marine%20Anchor.webp
6th Anniversary ,Anniversary,₱15.00,1,https://flee-the-facility.fandom.com/wiki/6th_Anniversary__Hammer
Fairy Tale Book,Anniversary,₱25.00,2,https://flee-the-facility.fandom.com/wiki/Fairy_Tale_Book_Hammer
Shroomy Smasher ,Anniversary,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Shroomy_Smasher__Hammer
Mycelium Mallet ,Anniversary,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Mycelium_Mallet__Hammer
Fungal Thumper ,Anniversary,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Fungal_Thumper__Hammer
Pegasus Blade ,Anniversary,₱45.00,1,https://flee-the-facility.fandom.com/wiki/Pegasus_Blade__Hammer
Ancient Portal ,Anniversary,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Ancient_Portal__Hammer
Magical Portal ,Anniversary,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Magical_Portal__Hammer
Unchained Beast ,Anniversary,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Unchained_Beast__Hammer
5 Billion ,Anniversary,₱15.00,2,https://flee-the-facility.fandom.com/wiki/5_Billion__Hammer
Paint Canvas ,Anniversary,₱20.00,3,https://flee-the-facility.fandom.com/wiki/Paint_Canvas__Hammer
Theatrical Spotlight ,Anniversary,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Theatrical_Spotlight__Hammer
Luxury Projector ,Anniversary,₱30.00,1,https://flee-the-facility.fandom.com/wiki/Luxury_Projector__Hammer
8th Anniversary ,Anniversary,₱15.00,2,https://flee-the-facility.fandom.com/wiki/8th_Anniversary__Hammer
Caramel Roll,Anniversary,₱5.00,1,https://static.wikia.nocookie.net/flee-the-facility/images/e/ee/CaramelRollHammer.png/revision/latest?cb=20221223140419
Ruby Chest,Anniversary,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Ruby_Chest_Hammer
Jade Chest,Anniversary,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Jade_Chest_Hammer
Princess Palace,Anniversary,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Princess_Palace_Hammer
VIP Ban Hammer,Others,₱15.00,3,https://zarys-exists.github.io/FTF-Trade-Calculator/items/VIP%20Ban%20Hammer.webp
Cornucopia ,Autumn,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Cornucopia__Hammer
Autumn Scarecrow ,Autumn,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Autumn_Scarecrow__Hammer
Fall Wheelbarrow ,Autumn,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Fall_Wheelbarrow__Hammer
Toasted Marshmallow ,Autumn,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Toasted_Marshmallow__Hammer
Roasted Turkey ,Autumn,₱34.00,1,https://flee-the-facility.fandom.com/wiki/Roasted_Turkey__Hammer
Autumn Tent,Autumn,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Autumn_Tent_Hammer
Easter Basket ,Easter,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Easter_Basket__Hammer
Fudge Bunny ,Easter,₱20.00,4,https://flee-the-facility.fandom.com/wiki/Fudge_Bunny__Hammer
Cuddly Bunny ,Easter,₱20.00,4,https://flee-the-facility.fandom.com/wiki/Cuddly_Bunny__Hammer
Easter Chick ,Easter,₱30.00,1,https://flee-the-facility.fandom.com/wiki/Easter_Chick__Hammer
Pristine Chocolatery,Easter,₱30.00,1,https://flee-the-facility.fandom.com/wiki/Pristine_Chocolatery_Hammer
Coffin ,Halloween,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Coffin.webp
Light Bone Crusher ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Light_Bone_Crusher__Hammer
Dark Bone Crusher ,Halloween,₱40.00,1,https://flee-the-facility.fandom.com/wiki/Dark_Bone_Crusher__Hammer
Dave Pumpkins ,Halloween,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Dave%20Pumpkins.webp
Tombstone Bash,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Tombstone_Bash_Hammer
Pumpkin Slice ,Halloween,₱40.00,1,https://flee-the-facility.fandom.com/wiki/Pumpkin_Slice__Hammer
Witch Hunter ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Witch_Hunter__Hammer
Alchemist Hunter ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Alchemist_Hunter__Hammer
Warlock Hunter ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Warlock_Hunter__Hammer
Black Light Madness ,Halloween,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Black%20Light%20Madness.webp
Midnight Light ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Midnight_Light__Hammer
Phantom Light ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Phantom_Light__Hammer
Owl Tree ,Halloween,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Owl%20Tree.webp
Lunar Witch Broom ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Lunar_Witch_Broom__Hammer
Solar Witch Broom ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Solar_Witch_Broom__Hammer
Celestial Witch Broom ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Celestial_Witch_Broom__Hammer
Devilish Candle ,Halloween,₱50.00,1,https://flee-the-facility.fandom.com/wiki/Devilish_Candle__Hammer
Dark Mansion ,Halloween,₱30.00,1,https://flee-the-facility.fandom.com/wiki/Dark_Mansion__Hammer
Book of Fortunes,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Book_of_Fortunes_Hammer
Cursed Circus Tent ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Cursed_Circus_Tent__Hammer
Enchanted Circus Tent ,Halloween,₱20.00,2,https://flee-the-facility.fandom.com/wiki/Enchanted_Circus_Tent__Hammer
Haunted Circus Tent ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Haunted_Circus_Tent__Hammer
Autumn Crops ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Autumn_Crops__Hammer
Fiery Phoenix ,Halloween,₱30.00,1,https://flee-the-facility.fandom.com/wiki/Fiery_Phoenix__Hammer
Acidic Potions ,Halloween,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Acidic_Potions__Hammer
Grandfather Clock ,Halloween,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Grandfather_Clock__Hammer
Vintage TV ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Vintage_TV__Hammer
Deathberry Pie ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Deathberry_Pie__Hammer
Spookpumpkin Pie ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Spookpumpkin_Pie__Hammer
Scareapple Pie ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Scareapple_Pie__Hammer
Grim Galleon ,Halloween,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Grim_Galleon__Hammer
Circus Cage,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Circus_Cage_Hammer
Soulless Theater ,Halloween,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Soulless_Theater__Hammer
Moon Staff ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Moon_Staff__Hammer
Devilborn ,Halloween,₱40.00,1,https://flee-the-facility.fandom.com/wiki/Devilborn__Hammer
Gothic Bouquet ,Halloween,₱70.00,2,https://flee-the-facility.fandom.com/wiki/Gothic_Bouquet__Hammer
Ragebringer ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Ragebringer__Hammer
Zombie Hand ,Halloween,₱20.00,2,https://flee-the-facility.fandom.com/wiki/Zombie_Hand__Hammer
Psycho's Chainsaw ,Halloween,₱40.00,1,https://flee-the-facility.fandom.com/wiki/Psycho's_Chainsaw__Hammer
Bloodline Bat ,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Bloodline_Bat__Hammer
Bloodthirst Axe ,Halloween,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Bloodthirst_Axe__Hammer
Antique Piano ,Halloween,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Antique_Piano__Hammer
Starborne Reverie ,Halloween,₱20.00,3,https://flee-the-facility.fandom.com/wiki/Starborne_Reverie__Hammer
Paranormal Hot Balloon ,Halloween,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Paranormal_Hot_Balloon__Hammer
Pharaoh Sarcophagus,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Pharaoh_Sarcophagus_Hammer
Lunar Scepter ,Lunar New Years,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Lunar%20Scepter.webp
Year of the Horse ,Lunar New Years,₱15.00,1,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Year_Of_The_Horse.png
Jade Statue ,Lunar New Years,₱15.00,1,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Bundle_Of_Longevity.png
Lion Dance ,Lunar New Years,₱30.00,1,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Bundle_Of_Harmony.png
Dragon Puppet,Lunar New Years,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Dragon%20Puppet.webp
Snowman ,Christmas,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Snowman.webp
2019,Christmas,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/2019.webp
2020,Christmas,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/2020.webp
Toy Elf ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Toy_Elf__Hammer
Toy Santa,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Toy_Santa_Hammer
Lil' Tree ,Christmas,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Lil'%20Tree.webp
2021,Christmas,₱15.00,1,https://flee-the-facility.fandom.com/wiki/2021_Hammer
Santa Chimney ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Santa_Chimney__Hammer
Snow Globe ,Christmas,₱20.00,2,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Snow%20Globe.webp
Candy Cane Jar ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Candy_Cane_Jar__Hammer
Santa Boot ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Santa_Boot__Hammer
2022,Christmas,₱15.00,1,https://flee-the-facility.fandom.com/wiki/2022_Hammer
Jingle Bells ,Christmas,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Jingle%20Bells.webp
Festive Pinecone ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Festive_Pinecone__Hammer
Cozy Cocoa ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Cozy_Cocoa__Hammer
Winter Breeze ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Winter_Breeze__Hammer
Frost Engine ,Christmas,₱20.00,2,https://flee-the-facility.fandom.com/wiki/Frost_Engine__Hammer
2023,Christmas,₱15.00,1,https://flee-the-facility.fandom.com/wiki/2023_Hammer
Gingerbread House,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Gingerbread_House_Hammer
Festive Train ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Festive_Train__Hammer
Winter Train ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Winter_Train__Hammer
Sweet Train ,Christmas,₱20.00,2,https://flee-the-facility.fandom.com/wiki/Sweet_Train__Hammer
Merry Music Box ,Christmas,₱30.00,1,https://flee-the-facility.fandom.com/wiki/Merry_Music_Box__Hammer
Ice Sleigh ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Ice_Sleigh__Hammer
Santa's Sleigh ,Christmas,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Santa's_Sleigh__Hammer
Cocoa Machine ,Christmas,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Cocoa_Machine__Hammer
Stack of Presents ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Stack_of_Presents__Hammer
Yuletide Gift ,Christmas,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Yuletide_Gift__Hammer
2024,Christmas,₱15.00,1,https://flee-the-facility.fandom.com/wiki/2024_Hammer
Frostbite ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Frostbite__Hammer
Santa Box ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Santa_Box__Hammer
Elf Box ,Christmas,₱20.00,2,https://flee-the-facility.fandom.com/wiki/Elf_Box__Hammer
Snowman Box,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Snowman_Box_Hammer
Frosted Frequency ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Frosted_Frequency__Hammer
Holiday Hotline ,Christmas,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Holiday_Hotline__Hammer
Frozen Fortress ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Frozen_Fortress__Hammer
Aurora Abolisher ,Christmas,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Aurora_Abolisher__Hammer
2025,Christmas,₱15.00,1,https://flee-the-facility.fandom.com/wiki/2025_Hammer
Festive Fruitcake ,Christmas,₱20.00,2,https://flee-the-facility.fandom.com/wiki/Festive_Fruitcake__Hammer
Santa's Reindeer ,Christmas,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Santa's_Reindeer__Hammer
Grape Barrel ,Christmas,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Grape_Barrel__Hammer
Cranberry Barrel ,Christmas,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Cranberry_Barrel__Hammer
Permafrost Axe ,Christmas,₱20.00,2,https://flee-the-facility.fandom.com/wiki/Permafrost_Axe__Hammer
Jello Dessert ,Christmas,₱30.00,1,https://flee-the-facility.fandom.com/wiki/Jello_Dessert__Hammer
Eye of Blizzaria ,Christmas,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Eye%20of%20Blizzaria.webp
2026,Christmas,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/2026.webp
Joyful Mailbox,Christmas,₱10.00,1,https://flee-the-facility.fandom.com/wiki/Joyful_Mailbox_Hammer
Evergreen Mailbox,Christmas,₱10.00,1,https://flee-the-facility.fandom.com/wiki/Evergreen_Mailbox_Hammer
Sweet Treats,Christmas,₱10.00,1,https://flee-the-facility.fandom.com/wiki/Sweet_Treats_Hammer
Sour Treats,Christmas,₱10.00,2,https://flee-the-facility.fandom.com/wiki/Sour_Treats_Hammer
Snowy Village,Christmas,₱7.00,10,https://flee-the-facility.fandom.com/wiki/Snowy_Village_Hammer
Cinder Gift,Christmas,₱7.00,10,https://flee-the-facility.fandom.com/wiki/Cinder_Gift_Hammer
December's Duality,Christmas,₱7.00,4,https://flee-the-facility.fandom.com/wiki/December's_Duality_Hammer
Red Velvet,Christmas,₱7.00,4,https://flee-the-facility.fandom.com/wiki/Red_Velvet_Hammer
Sugar Cookies,Christmas,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Sugar_Cookies_Hammer
Christmas Lights,Christmas,₱5.00,4,https://flee-the-facility.fandom.com/wiki/Christmas_Lights_Hammer
Baubles,Christmas,₱5.00,5,https://flee-the-facility.fandom.com/wiki/Baubles_Hammer
,,,,
,,,,
,,,,
Honey Hive Tree,Spring,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Honey%20Hive%20Tree.webp
